age,income,account_age,clicks_last_month,promo_clicks,engagement_score,last_login_days,subscription_type,region,device_type,previous_upsell_attempts,average_session_time,upsell
72,1128.18,31,45,10,0.0,21,Premium,South,Desktop,3,9.3,0
40,397.05,0,24,0,25.03,29,Advanced,East,Tablet,0,3.01,0
26,483.65,1,0,0,0.0,0,Basic,South,Mobile,3,3.12,0
50,312.71,12,4,0,40.94,76,Basic,East,Mobile,4,13.57,0
17,2429.27,19,44,2,,4,Basic,South,Tablet,0,19.4,0
17,179.3,28,27,0,10.18,3,Basic,North,Tablet,0,8.05,0
16,1938.26,28,18,0,19.3,22,Premium,North,Tablet,4,15.15,0
16,352.05,33,15,2,8.85,22,Advanced,West,Tablet,0,35.39,0
44,8100.81,2,11,0,0.0,12,Basic,West,Mobile,3,0.28,0
45,1275.31,22,0,0,30.38,22,Advanced,North,Mobile,1,7.51,1
27,2678.86,10,15,0,0.0,0,Advanced,East,Desktop,3,6.01,0
33,1459.93,38,3,1,22.31,24,Advanced,West,Desktop,0,4.13,1
29,359.27,13,52,0,13.69,3,Basic,North,Mobile,4,2.03,0
71,,13,13,9,0.0,0,Basic,East,Tablet,0,21.6,0
16,461.43,26,5,0,25.01,29,Advanced,North,Desktop,4,15.01,0
28,6128.39,25,0,14,8.93,18,Premium,North,Tablet,1,10.64,0
61,6705.08,20,8,17,0.0,18,Premium,South,Tablet,2,12.42,0
16,,40,12,4,0.0,3,Basic,South,Tablet,3,2.37,1
53,1247.85,5,8,14,0.0,0,Advanced,South,Tablet,1,13.5,0
40,203.56,17,0,11,0.0,0,Basic,West,Desktop,4,0.18,0
23,3039.89,22,15,0,24.67,15,Basic,North,Desktop,1,2.56,0
69,142.4,13,14,23,0.0,13,Basic,North,Tablet,4,14.74,0
39,3055.45,2,0,0,14.72,22,Advanced,North,Mobile,1,0.57,1
80,421.02,17,45,16,0.0,22,Basic,East,Tablet,4,11.99,0
46,4651.89,22,1,13,1.99,0,Advanced,South,Tablet,1,16.18,0
16,328.11,19,11,0,0.0,0,Advanced,North,Mobile,3,23.59,1
36,2020.09,6,18,3,0.0,15,Basic,East,Desktop,2,6.13,0
24,2746.02,10,0,0,27.41,34,Basic,West,Tablet,1,5.35,0
55,2382.02,19,14,0,5.05,12,Advanced,West,Desktop,4,6.97,1
49,562.42,50,34,5,0.0,13,Basic,North,Mobile,3,14.0,0
39,2257.1,17,7,15,0.0,7,Advanced,East,Mobile,0,6.1,0
16,569.58,44,10,0,43.53,29,Premium,East,Mobile,4,0.67,0
51,142.54,37,15,26,0.0,9,Advanced,North,Mobile,4,11.58,0
38,3337.29,4,39,0,0.0,0,Premium,West,Tablet,2,4.04,0
16,998.92,3,27,0,4.18,0,Premium,East,Desktop,2,1.01,1
57,,29,16,0,0.0,4,Premium,East,Desktop,1,1.92,1
36,890.28,24,8,5,0.0,2,Advanced,South,Tablet,4,5.95,0
40,542.45,8,0,0,0.0,0,Premium,South,Desktop,2,17.88,0
41,347.98,2,12,0,0.0,5,Basic,East,Desktop,2,4.52,0
19,177.58,11,11,0,16.72,30,Advanced,West,Tablet,3,14.49,1
49,344.21,14,21,0,0.0,38,Basic,South,Mobile,4,0.59,0
22,754.88,9,18,0,16.74,20,Premium,West,Desktop,1,7.32,0
46,976.32,23,19,0,2.79,56,Premium,West,Desktop,4,0.01,0
70,1404.01,24,42,16,0.0,3,Advanced,North,Desktop,3,10.17,0
43,2064.86,20,3,8,1.53,8,Basic,West,Tablet,0,8.34,0
33,1141.93,34,3,16,0.0,0,Basic,South,Mobile,4,10.12,0
44,544.44,35,26,1,0.0,44,Premium,North,Mobile,3,2.61,0
17,1425.23,23,8,0,25.79,15,Advanced,South,Mobile,4,1.76,0
18,155.47,17,3,0,6.51,0,Basic,South,Tablet,3,3.52,0
16,315.13,45,1,0,38.32,16,Basic,South,Desktop,3,3.31,0
16,142.47,51,8,0,19.24,0,Advanced,East,Mobile,4,0.4,0
29,1103.46,12,0,7,0.0,1,Basic,North,Desktop,2,10.47,0
16,382.97,39,24,5,0.0,0,Basic,West,Desktop,1,12.77,1
49,4065.32,21,16,9,0.0,18,Premium,East,Desktop,2,4.53,0
16,1781.91,17,25,0,7.35,0,Premium,South,Mobile,4,1.1,0
16,1199.87,49,0,0,45.81,48,Advanced,West,Desktop,4,15.56,0
38,240.66,5,26,0,37.31,37,Premium,South,Tablet,3,7.53,1
17,2093.66,14,12,0,0.0,0,Basic,North,Tablet,4,7.74,0
69,901.67,33,32,16,0.0,22,Premium,East,Mobile,2,18.99,0
34,179.87,3,13,0,24.55,45,Advanced,South,Desktop,2,15.8,0
38,828.57,1,0,0,0.0,5,Advanced,East,Tablet,0,1.01,0
56,850.57,18,28,6,0.0,21,Basic,South,Mobile,2,14.89,0
63,1004.63,31,24,16,0.0,15,Premium,East,Tablet,1,19.13,0
34,5039.68,10,30,0,18.9,17,Basic,North,Tablet,3,2.85,0
52,4624.98,0,18,0,36.03,45,Premium,West,Tablet,0,10.83,1
44,370.14,0,24,0,18.97,27,Premium,South,Mobile,1,2.76,0
26,791.2,33,37,4,8.76,12,Premium,East,Mobile,1,20.98,0
64,556.89,25,25,19,0.0,13,Basic,East,Mobile,3,15.74,0
16,1015.36,36,0,0,34.51,42,Premium,South,Tablet,2,17.64,0
42,707.1,28,8,7,0.0,16,Premium,East,Desktop,2,5.23,0
16,378.71,19,1,0,11.89,1,Premium,East,Mobile,3,1.23,0
73,427.38,18,56,4,0.0,2,Premium,West,Desktop,0,18.38,0
67,1016.41,41,28,12,0.0,17,Basic,South,Tablet,4,21.65,0
76,445.93,10,31,7,,0,Basic,West,Mobile,1,28.27,0
37,174.93,11,6,2,0.0,8,Basic,South,Mobile,4,3.72,0
16,3367.46,8,7,0,0.0,18,Basic,East,Mobile,3,16.54,1
30,2166.23,40,0,0,3.79,6,Basic,East,Desktop,0,3.17,1
26,3575.53,13,23,4,4.22,27,Advanced,West,Mobile,3,30.91,0
32,683.13,23,0,8,18.7,9,Basic,North,Tablet,3,8.8,0
20,846.96,11,15,0,0.0,0,Basic,North,Mobile,2,8.61,0
16,1918.81,15,4,0,27.36,51,Premium,West,Tablet,4,24.67,0
30,4915.43,19,0,0,16.98,19,Basic,North,Tablet,4,0.87,1
61,3216.1,30,17,0,31.73,20,Advanced,East,Mobile,0,9.02,1
70,908.95,20,45,0,19.44,28,Advanced,South,Mobile,1,17.75,1
60,1047.1,22,26,25,14.55,32,Premium,North,Mobile,4,13.0,0
48,1123.17,15,5,0,25.08,28,Advanced,North,Tablet,1,15.27,1
48,1630.1,4,29,0,34.15,55,Advanced,West,Tablet,4,8.04,0
16,555.9,29,15,0,20.58,19,Premium,West,Desktop,4,11.72,0
16,679.98,42,17,0,19.88,13,Premium,North,Tablet,0,10.41,0
16,502.0,45,0,0,17.35,2,Premium,South,Tablet,0,4.38,0
51,454.65,19,37,0,12.64,20,Advanced,East,Tablet,0,0.17,0
71,404.7,9,13,13,0.0,18,Basic,East,Tablet,2,6.9,0
21,1738.0,29,31,0,10.2,10,Advanced,East,Desktop,4,10.26,0
16,908.21,21,4,0,7.45,1,Advanced,East,Tablet,0,6.64,0
23,1868.25,27,22,0,9.93,6,Advanced,East,Tablet,4,10.29,0
16,1466.55,55,6,0,26.6,18,Premium,South,Tablet,4,14.7,0
76,239.34,5,20,12,0.0,0,Advanced,South,Tablet,1,18.97,0
38,656.63,80,10,0,25.39,38,Advanced,West,Desktop,3,15.14,1
49,94.19,41,7,0,21.81,7,Advanced,East,Mobile,1,11.61,1
